event_key,detected_at,last_seen,person,event,category,momentum,acceleration,spice,risk,youtube_saturation,opportunity,alert,angle,status,tts_forecast_hours,window_state,window_remaining_min,sources,video_count_6h,score_version
story-will-harm,2026-09-25T21:53:19.922Z,2026-09-25T21:53:19.922Z,Will Harm,Will Harm: GUEST ROOM | How Hasan Piker’s Words Will Harm Jewish Cornellians,scandal,19,0,0,64,0,19,ARCHIVE,What the Will Harm will harm: guest room | how hasan piker’s words will harm jewish cornellians filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,60,news,0,v2
story-tim-tebow,2026-09-24T21:42:56.070Z,2026-09-25T21:53:19.922Z,Tim Tebow,Tim Tebow: Life Surge Financial Courses Under Fire For Allegedly Charging Up to $50K,scandal,19,-1,4,64,30,18,ARCHIVE,What the Tim Tebow tim tebow: “pausing” christian seminar promotion after our investigation filings actually say — line by line — what happens next,RESEARCH,3.4,closed,0,trends|news,12,v2
story-steve-gleason,2026-09-25T21:46:41.849Z,2026-09-25T21:53:19.922Z,Steve Gleason,Steve Gleason: trending now,scandal,21,-4,0,64,13,18,ARCHIVE,What the Steve Gleason steve gleason: trending now filings actually say — line by line — the other side of the fight,RESEARCH,2.6,closed,-1,trends|news,5,v2
story-tim-tebow-s,2026-09-25T21:46:41.849Z,2026-09-25T21:53:19.922Z,Tim Tebow's,Tim Tebow's: Tim Tebow’s ties to allegedly predatory Christian organization being investigated,scandal,18,-1,0,64,0,19,ARCHIVE,What the Tim Tebow's tim tebow's: pablo torre investigates tim tebow’s ties to allegedly predatory christian organization ‘life surge’ filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,53,news,0,v2
story-ted-kaczynski-s,2026-09-25T20:21:44.553Z,2026-09-25T20:37:36.464Z,Ted Kaczynski's,Ted Kaczynski's: ‘Unabomber’ Review: Jacob Tremblay and Russell Crowe in a Facile Rendering of Ted Kaczynski’s College Days,scandal,18,-1,0,34,0,22,ARCHIVE,What the Ted Kaczynski's ted kaczynski's: ‘unabomber’ review: jacob tremblay and russell crowe in a facile rendering of ted kaczynski’s college days filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,44,news,0,v2
story-jacob-tremblay,2026-09-25T09:03:16.772Z,2026-09-25T20:37:36.464Z,Jacob Tremblay,Jacob Tremblay: ‘Unabomber’ Review: Jacob Tremblay Stuns in a Biopic That Still Can’t Decide if Kaczynski Was Crazy,scandal,16,-1,0,34,0,22,ARCHIVE,What the Jacob Tremblay jacob tremblay: ‘unabomber’ review: jacob tremblay and russell crowe in a facile rendering of ted kaczynski’s college days filings actually say — line by line — the other side of the fight,RESEARCH,3.5,closed,0,news,0,v2
story-ted-kaczynski,2026-09-25T09:03:16.772Z,2026-09-25T20:37:36.464Z,Ted Kaczynski,Ted Kaczynski: Who was the Unabomber? The true story behind Netflix's new Ted Kaczynski movie.,celebrity,10,-8,0,64,0,17,ARCHIVE,What the Ted Kaczynski ted kaczynski: trending now filings actually say — line by line — the other side of the fight,RESEARCH,3.5,closed,0,news|trends,0,v2
story-nathan-fielder-s,2026-09-23T15:30:18.222Z,2026-09-25T20:21:44.553Z,Nathan Fielder's,Nathan Fielder's: Nathan Fielder’s Elizabeth Holmes Doc Drops Full Trailer — and You Will Want to See Everything,tech,17,-1,0,64,0,18,ARCHIVE,The Nathan Fielder's nathan fielder's: nathan fielder’s elizabeth holmes documentary slapped with r-rating for ‘graphic nudity’ story is actually a money story — the other side of the fight,RESEARCH,7.5,closed,0,news,0,v2
story-tom-cruise-s,2026-09-23T21:51:28.884Z,2026-09-25T20:21:44.553Z,Tom Cruise's,Tom Cruise's: Tom Cruise’s Sweet Gesture Toward Kate Middleton Actually Breaks This Royal Rule,scandal,15,-1,7,64,0,21,ARCHIVE,The Tom Cruise's situation is weirder than the clips suggest — the part that was not supposed to be public,KEPT,4.2,closed,0,news,0,v2
story-tom-cruise,2026-09-22T23:04:01.336Z,2026-09-25T20:21:44.553Z,Tom Cruise,Tom Cruise: Kate Middleton Goes Full Movie Star Mode for a Night With Tom Cruise,celebrity,13,0,0,64,63,14,ARCHIVE,The Tom Cruise story is a proxy fight about something bigger — the other side of the fight,ARCHIVED,4.5,closed,-4038,news|trends,25,v2
story-victor-osimhen,2026-09-25T19:42:02.842Z,2026-09-25T19:42:02.842Z,Victor Osimhen,"Victor Osimhen: Eric Chelle's Victor Osimhen gamble failed, but Nigeria have rebuilding depth",tech,19,0,0,64,0,18,ARCHIVE,"The Victor Osimhen victor osimhen: eric chelle's victor osimhen gamble failed, but nigeria have rebuilding depth story is actually a money story — the other side of the fight",RESEARCH,7.5,unknown,300,news,0,v2
